subject,lcc_T6W40,lsc_T6W40,z_asp_T6W40,y_true,y_pred
CSO-18-11B-YLLRE,-0.9778365441423365,-0.06748614919168183,0.0,22,12.53301024258673
CSO-18-9B-MAMOLO,-0.49836191864600554,0.07034432118266398,0.0,10,13.150315338457407
CSO-8-3A-AIPRBR,0.6255836722446296,0.012141411426214499,0.0,1,14.216058019591593
CSO-8-3A-DAPAVA,0.7346393776628597,0.06317999707984878,0.0,9,14.376152310663457
CSO-8-3A-KVPECO,0.617819750913366,0.06316905133992279,0.0,23,14.259321738174041
CSO-8-4A-ARAGR,-0.6754918811905384,0.018630210112007717,0.0,26,12.921471264842218
CSO-8-4A-JRAAR,2.226722410524177,0.2025473304915142,0.0,8,16.00760267693644
CSO-9-2A-EXMOCO,0.850995955288055,0.23076203525596473,0.0,17,14.660090926464768
CSO-9-4A-AGAPE,-0.18938915664780254,-0.02665015342778787,0.0,4,13.362293625845158
CSO-9-4A-DKVIMO,1.1975161173110411,0.03554108985168902,0.0,4,14.811390143083475
CSO-9-4A-DSMOMU,-0.9079983639080176,-0.052114136480120976,0.0,21,12.618220435532614
CSO-9-4A-DVGATO,-0.007880637695281578,0.051499033868738664,0.0,9,13.621951332094206
CSO-9-4A-EGCAMO,1.1463513010685764,0.07051392121872713,0.0,20,14.795198158208052
CSO-9-4A-FAGIGA,-0.15678198179938896,0.1131472292223119,0.0,26,13.534698183343671
CSO-9-4A-GSBRCO,1.7462190941497775,0.11108318450372878,0.0,10,15.435635214574255
CSO-9-4A-KEMOCO,1.4041686361672516,0.05410036354602088,0.0,14,15.036601935634021
CSO-9-4A-LCOMO,-0.7650169974543637,-0.004744806633265597,0.0,10,12.80857113183312
CSO-9-4A-MLORO,0.9260871778915892,0.018664753751227114,0.0,10,14.523084867563565
CSO-9-4A-MPAME,1.0388589463194347,0.11171903714741482,0.0,31,14.728910919387598
CSO-9-4A-NSARPA,-0.23083870530586467,-0.07143941073922291,0.0,11,13.276054819875661
CSO-9-4A-SLOCA,1.078125975944368,0.09427410433130046,0.0,8,14.750733016196417
CSO-9-4A-YVDITR,2.9920782257251224,0.24988014125409652,0.0,22,16.820291302899967
