subject,nodes_T2W30,re_T2W30,pe_T2W30,l1_T2W30,l2_T2W30,lcc_T2W30,atd_T2W30,diameter_T2W30,asp_T2W30,z_pe_T2W30,z_l1_T2W30,z_l2_T2W30,z_lsc_T2W30,z_density_T2W30,z_diameter_T2W30,z_asp_T2W30
CDMS-8-4A-DOSTR,20.79591836734694,2.193877551020408,0.6428571428571429,1.7857142857142858,0.6428571428571429,20.79591836734694,2.8172213965776907,8.275510204081632,3.613732301533053,-0.4694040864095359,1.1805675113026182,-0.4350659589641615,-1.6231171056661662,-1.7006668290909386,1.2331109673236664,1.6392187133603775
CDMS-8-4A-LGOPA,20.560606060606062,1.803030303030303,0.803030303030303,0.5454545454545454,0.803030303030303,20.5,2.7839103094320667,7.666666666666667,3.4036144259465946,-0.1992066937779525,-0.4853550293712202,-0.1851680886254293,-0.0916847361525692,-0.6554474417100804,0.5430792060090627,0.778335077342785
CDMS-8-4C-JDBUTU,17.210526315789473,3.473684210526316,2.1052631578947367,4.947368421052632,1.368421052631579,14.210526315789474,3.196576968737633,6.842105263157895,3.119742761538427,-0.3078853343458294,2.5968071992732726,-0.6893759552538441,-3.250895476431811,-2.365694179756952,2.3884135342192443,3.471456569426734
CDMS-9-4A-ACDUTR,19.42105263157895,2.421052631578948,1.736842105263158,3.0526315789473686,1.736842105263158,19.42105263157895,2.955251389567831,7.526315789473684,3.229896076620861,-0.0906585537767794,1.1789312950405446,0.0516243579315553,-0.7593661078525045,-1.2586921297186906,1.2756891683265057,1.2573812255929235
CDMS-9-4A-CARGA,21.54368932038835,1.6019417475728157,0.6601941747572816,0.3106796116504854,0.6601941747572816,21.54368932038835,2.705837556697112,7.679611650485437,3.3771939689827604,-0.3700948932967071,-0.6103704104780024,-0.3354630960849563,-0.1506044167051652,-0.437365898994908,0.4075244476465046,0.3971957496339244
CDMS-9-4A-CRAAG,20.8,3.0,2.92,1.56,1.04,20.8,2.799585868492047,7.36,3.3697947558192545,1.271678367327949,0.5091619780442439,-0.2207671987778942,0.4570505335516086,-1.429632526893022,0.4762820489566411,0.8605661073018424
CDMS-9-4A-EROHI,22.5625,2.375,0.375,1.0,0.375,22.5625,2.5731666431394693,9.375,4.131732895727461,-0.5895144783564572,0.4314090426230256,-0.557982945413702,0.3138951336724004,-2.01101717778498,1.0698861467508958,1.6524545287968069
CDMS-9-4A-ILOSE,24.119205298013245,1.0132450331125828,0.1854304635761589,0.0,0.1854304635761589,24.05298013245033,2.411685719863061,9.211920529801324,3.998183511885765,-0.4715548787695992,-0.7158421553506666,-0.47348321237174,0.0019967172203179,-0.0036724776172787,-0.2425229906203889,-0.261287497374071
CDMS-9-4A-TGAFR,22.15625,0.3125,0.96875,1.46875,0.96875,22.125,2.5630556829945417,7.484375,3.361325841159222,-0.2398092509952435,0.2983524022066368,-0.1726778967431714,-0.2004580452648125,0.0632775619777168,-0.3437105127293176,-0.2987855696961839
CDMS-9-4C-SCAMO,23.98181818181818,1.1090909090909091,0.3393939393939394,0.1757575757575757,0.3393939393939394,23.945454545454545,2.415150165893249,9.872727272727271,4.2136326662599455,-0.2850089999347657,-0.4797469079061232,-0.2773025299922624,0.0435576797748563,-0.5073072594746338,0.3035091653484164,0.4269008375570286
CDMS-9-5A-ABERO,20.84530386740332,1.7458563535911602,2.0994475138121547,2.325966850828729,1.6408839779005524,20.84530386740332,2.842655077146956,10.121546961325969,4.239055327666211,0.5690223587630395,1.8109268334124249,0.4174303184251047,-1.6480284082968586,-2.469372693380965,2.177085381950322,2.9850515629592493
CDMS-9-5A-VVAAR,24.625,0.175,0.125,0.45,0.075,24.625,2.368134664852056,11.1,4.681119784402393,-0.5435158936318303,0.0988032242275886,-0.5992091592329486,-0.0625094406018508,0.2963858951430881,0.2745110840869702,0.4032005320100581
