subject,edges_T6W50,re_T6W50,pe_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50,y_true,y_pred
CDMS-XX-5C-MJSARU,0.0,0.0005812665707678239,0.0007530915136078503,0.00018552229016243992,-8.541728258465442e-05,0.00031850499309881293,0.0018681603486581876,0.0012673423340869548,9,8.00618740193009
CDMS-XX-5C-MPCAQU,0.0,-0.00046526737431239835,-0.0003909199432793322,0.00013446191096762902,-1.7831363402532295e-05,-0.0005334534478777124,-0.0013465734430111744,-0.00044153071880859607,5,7.998237816782568
CDMS-XX-6A-MAGICA,3.077320041787291e-05,0.0005959399959240339,0.000736884645939944,0.00020478277487406216,2.0080985503137874e-05,0.0004291249105219259,0.0018164429681650077,0.0011005138194206078,7,8.006233474463059
CDMS-XX-6B-SPUCA,0.0,0.00038502274089955053,-7.488301128501153e-05,0.000247524835118414,-0.0001151657554296077,0.00025286661801833814,0.0016200529655152544,0.0013233677821162305,10,8.004937717337246
CSO-10-4A-ICAPA,0.0,-0.0004913317011021375,-0.0007079891884380615,0.0,0.0,-0.0002460501615834951,-0.0011734776792104568,-0.0007464611516468757,8,7.997933621280311
CSO-10-4A-KCOMO,0.0,-0.000640251667928966,-0.0008307993948158177,-2.443718797831172e-05,0.00010310098401864415,0.0,-0.0010492087177124906,-0.001278923727704786,7,7.997578411450171
CSO-10-4A-LRAVI,0.0,-0.000678619531328843,-0.0006116059442834396,0.0,8.311692593450945e-05,-0.00021193330798756853,-0.0005675007957996462,-0.001268151831994465,3,7.998044236676833
CSO-10-4A-LSCAVA,0.0,-0.00036563370523995517,-0.0013099175065109897,0.00016525025145209946,-0.00014262947743783516,0.00036626648825116554,0.0013635039250193702,0.0006931895827074923,8,8.002068960720534
CSO-10-5A-ACAVA,0.0,0.0005862082067603604,0.0007569596957763044,-0.0005954162749905279,2.4580519489436018e-05,0.00030247972266036067,0.001715215956186874,0.001035967596001635,6,8.005124926584177
CSO-10-5A-ARACA,-0.000244318789610741,-0.0006627948603492358,-0.0002695998292320338,-0.00013224707607116632,-0.00010728767996150395,0.000540162321603265,-0.0008176829210156595,-0.001988176143058397,7,7.997616986184597
