subject,pe_T2W10,l2_T2W10,diameter_T2W10,asp_T2W10,z_pe_T2W10,z_l3_T2W10,y_true,y_pred
CSO-13-7A-CDDITR,-0.271055867075388,-0.5623814267354493,-1.2305067735596837,-0.6399230201679728,-0.5348247896758845,-0.32130812278562026,11,11.0
CSO-13-7A-JJATFL,0.07466914722150539,0.06818742481222174,1.3861233565315698,0.4469272288727406,-0.04283872217754947,1.506931564739513,18,18.0
CSO-13-7A-KRAMA,-0.09782756406139459,0.2891960913558755,0.7507952481336468,0.37919572289242487,0.7467301842262902,0.3719103174531584,17,17.0
CSO-13-7A-RXCHLU,-1.7229463392710576,-1.4051850388572544,-2.5663856443263535,-1.442611841801682,-1.5523795800290625,-0.8704915557145885,5,5.0
CSO-13-7A-YAMEZA,-1.3789231519332183,-1.4352220382984877,-0.315945448223113,-1.0053563174161388,-1.8329571132569222,-1.5915959308721193,7,7.0
CSO-13-8A-KIGAGU,-0.5270414784519519,-0.3516793604802675,-2.3094129200751636,-0.7939338816909864,-0.3023766808033139,-1.2755556784983155,9,9.0
CSO-13-8A-MBUAN,-0.6627152109417018,-0.7042461532885702,-1.606506209542594,-1.329671574074775,-1.2123929055910205,-1.0444679465613367,8,8.0
CSO-13-8A-MGAAN,1.8752832105255899,1.8627325594992679,1.639301991579678,2.075694464801397,1.707814752281861,1.2791730213122072,25,25.0
CSO-13-8A-MGAHE,0.8261314744956348,0.8100065139763579,3.6279465468651986,1.2934135655631274,1.684191285824358,1.1983106132753263,24,24.0
CSO-13-8A-MJAGA,-1.4772510782821042,-1.2194400855510394,-2.716624924729168,-1.5196063944801217,-1.039227820818052,-1.5878496961395132,5,5.0
CSO-13-8A-VHODU,0.6891798142172019,0.6172332312357085,-0.4248791230234596,0.851485282636473,0.5895214112125916,0.1174593837214859,17,17.0
CSO-13-8B-FCJISA,-0.3918935583474454,-0.4709108519202376,-0.8958659022001778,-0.026266697963266417,-0.6775016336917828,-1.0975613558770891,11,11.0
CSO-13-8B-JEMABE,-0.6707182431477549,-0.5113367324406051,-1.6742075747439198,-0.6091644176997474,-0.7672466737631664,-1.3273263582048054,9,9.0
CSO-13-9B-DMLLLU,1.729494153358144,1.2826780489909435,3.3119659337955536,1.5499959357921413,1.600709220199955,1.9651567078632641,26,26.0
CSO-14-7A-MVEBE,1.0457483976718045,0.9987639513190469,3.900500483621349,2.0741331347908307,1.1292708610343427,1.2915831715626278,25,25.0
CSO-14-7B-EALHU,-0.6498800128365083,-0.39324598013287454,-3.4267504059869216,-1.625376147859523,-0.16850254432686285,-0.2962449088573082,8,8.0
CSO-14-7B-EVEGO,-1.3331393761252361,-1.184173626740252,-3.4893295001640916,-1.3899401372990143,-1.5117901109028795,-1.651627248768524,4,4.0
CSO-14-8A-AQUMA,-0.5537233464032587,-0.7256884821320753,-1.3407257358890847,-0.8494090591666038,-0.974202567469488,-1.1162508089394876,9,9.0
CSO-14-8A-MCIDOS,2.2776012177470792,1.9536412613875214,0.8292920684073248,0.6611853307830504,3.6809024413581515,3.037377680316875,27,27.0
CSO-14-8A-SZARA,2.3583708824437686,2.974983584711738,2.515509570218945,2.4585863719645737,3.171921881519949,1.9606277091410274,30,30.0
CSO-14-8B-JLLORA,2.142580541168214,2.098484594011012,3.1171571974581513,2.726134894156476,3.6418945561643885,2.7137482170417577,31,31.0
CSO-14-9A-AEDCAGO,-1.433202906459732,-1.5752842805377232,-0.08832437238834778,-1.2149505343638802,-1.8749640601731028,-1.3732738460772127,7,7.0
CSO-14-9A-HASACA,0.29981090787957404,0.3613759447094744,2.7683553414745377,0.5243000085437014,0.08704134650306639,0.39911645088964764,19,19.0
CSO-14-9A-JSMAAL,-0.40259540625185647,-0.19486505150068745,-2.7073403109505616,-0.16268105599499627,-0.499062277235437,-0.5934558980664598,10,10.0
CSO-14-9A-MARJA,-0.39077905140144414,-0.3566339352362695,-1.7878554740894144,-0.2156370922538704,-0.8970164408042239,-0.9120780062147766,10,10.0
CSO-14-9A-SORZU,0.8351407419979467,0.8328142520578279,1.2497467357949115,1.1721004927568297,0.8365497514602999,1.513648025932186,21,21.0
CSO-14-9B-ERAGA,-1.295914909609007,-1.3130948124096509,0.09997458589880637,-1.3299896940209153,-3.0290040498846076,-1.6919711199746237,6,6.0
CSO-14-9B-MFEGA,1.554405706043913,1.3241264950959177,3.2732640423144277,1.5479049213035339,2.8621187969072355,1.8781800383349752,27,27.0
